sku;INTERNO;name;quantity;price;;;
SEM GTIN;14032;.BONECA PRIMEIRA CONSULTA 393;0;100,28;;;
7908136335375;13652;.BONECA PRINCESAS 00761;0;56,83;;;
7898505901464;17331;.BONECA SABRINA FASHION 8020;2;25,61;;;
7898283854297;16322;.BONECA SAPEKINHA BEBE CONFORTO 429;0;101,42;;;
7898283854136;16321;.BONECA SAPEKINHA CHEF C/ ACESSORIOS 413;0;69,29;;;
7898283853665;2985;.BONECA SAPEKINHA FALA COMIGO 366;1;63,01;;;
7899958218338;22548;.BONECA SEREIA GK1076;0;16,18;;;
7897020203909;20903;.BONECA SOFI 70 FRASES 390;0;144,55;;;
78980664927462;19104;.BONECA VAVAZINHA 2440;0;101,42;;;
7898639380517;12155;.BONECO BOY MY LITTLE 8051;1;109,88;;;
7898002434984;13690;.BONECO BS SOLDIER DARK WAR 498;1;28,71;;;
7898283852521;11914;.BONECO IMPLACAVEIS 252;0;34,63;;;
SEM GTIN;14038;.BONECO POCOYO 0275;0;74,51;;;
;13692;.BONECO SOLDIER DRONE WAR 504;1;31,49;;;
7898002434731;20915;.BONECO SOLDIER WAR COM MOTO 473;0;50,69;;;
7898639380722;306;.BONECO SONINHO NEW BORN 8072;0;167;;;
7898639381842;19095;.BONECO VAMOS VIAJAR 8184;0;152,15;;;
7898927356248;7909;.BONEQUINHA CARRINHO PASSEIO 624;0;23,6;;;
7898927356231;7908;.BONEQUINHA PAPINHA 623;0;23,64;;;
SEM GTIN;13331;.BOX 1.28 GLOBAL FLEX TAURUS BLACK;0;320,93;;;
SEM GTIN;4836;.BOX 1.38 30CM BOM DESCANSO CINZA ;0;343,33;;;
SEM GTIN;7141;.BOX 1.38 30CM BOM DESCANSO PRETO;0;343,33;;;
SEM GTIN;13330;.BOX 1.38 30CM GLOBAL FLEX TAURUS BLACK;0;320,93;;;
SEM GTIN;8959;.BOX 79/26 BOM DESCANSO PRETO;0;292,77;;;
7898639381941;17021;.BRAQUIOSSAURO 8194;0;84,51;;;
7898639381613;13682;.BRICAR DE PAPINHA 8161;0;63,01;;;
7899632508045;19264;.BRINQUEDO ANIMAL PATO 7562;3;84,66;;;
SEM GTIN;13286;.BUFFET VALDEMOVEIS PAMPULHA;3;687,77;;;
7896965219006;16363;.BUS ROMA EXECUTIVE 1900;0;67,6;;;
7898002434656;13686;.BUZAO 465;1;33,58;;;
SEM GTIN;13810;.CABECEIRA CAS. DIVILUX ESTER 1,40;0;273,78;;;
SEM GTIN;13811;.CABECEIRA CAS. DIVILUX TALIA 1,60;0;301,16;;;
SEM GTIN;21140;.CABECEIRA CAS. ESTOFADA M41;0;392,39;;;
SEM GTIN;22429;.CABECEIRA CAS. ESTOFADA M41 1,58;0;450,51;;;
SEM GTIN;24388;.CABECEIRA CAS. L & A ESTOF. CORDOBA 140;3;342,26;;;
SEM GTIN;24389;.CABECEIRA CAS. L & A ESTOF. CORDOBA 160;5;358,36;;;
SEM GTIN;24390;.CABECEIRA CAS. L & A ESTOF. CORDOBA 200;6;428,44;;;
SEM GTIN;14008;.CABECEIRA CAS. L & A ESTOF. LUANDA 1,40;2;432,22;;;
SEM GTIN;14009;.CABECEIRA CAS. L & A ESTOF. LUANDA 1,60;3;457,76;;;
SEM GTIN;14010;.CABECEIRA CAS. L & A ESTOF. LUANDA 2,00;2;558,34;;;
SEM GTIN;4287;.CABECEIRA CAS. N. AMERICA GOYA 1,40;0;478;;;
SEM GTIN;5017;.CABECEIRA CAS. N. AMERICA GOYA 1,60;0;499,56;;;
SEM GTIN;22250;.CABECEIRA CAS. N. HORIZONTE EVEREST;0;617,95;;;
SEM GTIN;24387;.CABECEIRA SOLT L & A ESTOF. CORDOBA 090;3;297,45;;;
SEM GTIN;15614;.CABECEIRA SOLT L & A ESTOF. LUANDA 0,90;2;378,24;;;
SEM GTIN;25020;.CABECEIRA SOLT. N. HORIZONTE PRIME PLUS;0;351,93;;;
SEM GTIN;18969;.CABIDEIRO MANCEBO CO8425863;1;118,58;;;
;25306;.CABIDEIRO TUBULAR NORDESTE;2;151,31;;;
SEM GTIN;5948;.CABO HDMI 10 METROS;0;120,18;;;
SEM GTIN;14930;.CABO HDMI 5 METROS;0;68,44;;;
8006003599000;5580;.CABO P/ CELULAR USB CONECT V8;1;25,95;;;
SEM GTIN;22756;.CACAROLA EIRILAR LIFE EIRIFLON 24;0;157,99;;;
SEM GTIN;22757;.CACAROLA EIRILAR LIFE EIRIFLON 26;1;177,18;;;
7899508462921;17342;.CACHORRO E MACAQUINHO PELUCIA 4-9951-28;2;54,37;;;
6506079867857;12693;.CACHORRO PELUCIA 6785;0;90,6;;;
SEM GTIN;18564;.CADEIRA BEST GAMER G500A;1;1.103,16;;;
SEM GTIN;14921;.CADEIRA GIR. BEST PRESIDENTE C300;2;1.154,50;;;
SEM GTIN;18802;.CADEIRA GIR. BEST PRESIDENTE C304;5;1.190,01;;;
;25508;.CADEIRA GIR. C/BRACO TRILIDERANCA 177;1;510,94;;;
SEM GTIN;1436;.CADEIRA GIR. FUTURA BEST 101A;0;379,2;;;
SEM GTIN;19319;.CADEIRA INF. PLAST. ANTARES DECORADA;15;28,24;;;
SEM GTIN;12496;.CADEIRA TUB.;0;81,42;;;
SEM GTIN;12877;.CADEIRA TUB. BEST DIRETOR C/ BRACO C200;0;492,59;;;
SEM GTIN;19316;.CADEIRA TUB. BEST DIRETOR C/ BRACO C201;0;496,28;;;
SEM GTIN;12878;.CADEIRA TUB. BEST PRESIDENTE C/ BRACO  ;0;737,63;;;
SEM GTIN;12961;.CADEIRA TUB. GOL 700;0;107,26;;;
SEM GTIN;16124;.CADEIRA TUB. GOL 900;0;118,11;;;
SEM GTIN;15379;.CADEIRA TUB. TRILIDERANCA FIXA 1100;0;135,68;;;
SEM GTIN;19685;.CADEIRA TUB. TRILIDERANCA FIXA 3/4 194;5;148,12;;;
SEM GTIN;25041;.CADEIRA TUB. TRILIDERANCA FIXA 7/8 210;5;185,1;;;
SEM GTIN;19686;.CADEIRA TUB. TRILIDERANCA FIXA IRIS 203;0;179,57;;;
;25507;.CADEIRA TUB. TRILIDERANCA GIR. IRIS 261;4;371,73;;;
